CA06  C9 80     CMP A:80 X:00 Y:00 P:A5 SP:FB PPU:186
CA08  D0 07     BNE A:80 X:00 Y:00 P:27 SP:FB PPU:192
CA0A  30 05     BMI A:80 X:00 Y:00 P:27 SP:FB PPU:198
CA0C  90 03     BCC A:80 X:00 Y:00 P:27 SP:FB PPU:204
CA0E  4C 15 CA  JMP A:80 X:00 Y:00 P:27 SP:FB PPU:210
CA15  EA        NOP A:80 X:00 Y:00 P:27 SP:FB PPU:219
CA16  C9 81     CMP A:80 X:00 Y:00 P:27 SP:FB PPU:225
CA18  B0 07     BCS A:80 X:00 Y:00 P:A4 SP:FB PPU:231
CA1A  F0 05     BEQ A:80 X:00 Y:00 P:A4 SP:FB PPU:237
CA1C  10 03     BPL A:80 X:00 Y:00 P:A4 SP:FB PPU:243
CA1E  4C 25 CA  JMP A:80 X:00 Y:00 P:A4 SP:FB PPU:249
CA25  EA        NOP A:80 X:00 Y:00 P:A4 SP:FB PPU:258
CA26  C9 7F     CMP A:80 X:00 Y:00 P:A4 SP:FB PPU:264
CA28  90 07     BCC A:80 X:00 Y:00 P:25 SP:FB PPU:270
CA2A  F0 05     BEQ A:80 X:00 Y:00 P:25 SP:FB PPU:276
CA2C  30 03     BMI A:80 X:00 Y:00 P:25 SP:FB PPU:282
CA2E  4C 35 CA  JMP A:80 X:00 Y:00 P:25 SP:FB PPU:288
CA35  EA        NOP A:80 X:00 Y:00 P:25 SP:FB PPU:297
CA36  24 01     BIT A:80 X:00 Y:00 P:25 SP:FB PPU:303
CA38  A0 40     LDY A:80 X:00 Y:00 P:E5 SP:FB PPU:312
CA3A  C0 40     CPY A:80 X:00 Y:40 P:65 SP:FB PPU:318
CA3C  D0 09     BNE A:80 X:00 Y:40 P:67 SP:FB PPU:324
CA3E  30 07     BMI A:80 X:00 Y:40 P:67 SP:FB PPU:330
CA40  90 05     BCC A:80 X:00 Y:40 P:67 SP:FB PPU:336
CA42  50 03     BVC A:80 X:00 Y:40 P:67 SP:FB PPU:  1
CA44  4C 4B CA  JMP A:80 X:00 Y:40 P:67 SP:FB PPU:  7
CA4B  EA        NOP A:80 X:00 Y:40 P:67 SP:FB PPU: 16
CA4C  B8        CLV A:80 X:00 Y:40 P:67 SP:FB PPU: 22
CA4D  C0 3F     CPY A:80 X:00 Y:40 P:27 SP:FB PPU: 28
CA4F  F0 09     BEQ A:80 X:00 Y:40 P:25 SP:FB PPU: 34
CA51  30 07     BMI A:80 X:00 Y:40 P:25 SP:FB PPU: 40
CA53  90 05     BCC A:80 X:00 Y:40 P:25 SP:FB PPU: 46
